               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.034647,            0.012331,            0.034027,             0.75363,                   1,             0.92031,             0.75153,           0.0063568,           0.0032888,           0.0067697,            0.003367,            0.003367,            0.003367
                  65,            0.035839,            0.012085,            0.035585,             0.72825,                   1,             0.94125,               0.721,           0.0063173,           0.0033059,           0.0071317,            0.003664,            0.003664,            0.003664
                  69,            0.033122,            0.011709,             0.03163,             0.74423,                   1,             0.94125,             0.78485,           0.0059875,           0.0032935,            0.006598,            0.003268,            0.003268,            0.003268
                  66,            0.029819,            0.011423,             0.03473,             0.73523,                   1,             0.92031,             0.70504,           0.0064225,           0.0034675,           0.0071349,            0.003565,            0.003565,            0.003565
                  70,            0.028132,            0.012289,            0.030753,             0.74099,                   1,              0.9825,             0.79916,           0.0061096,           0.0032745,           0.0068671,            0.003169,            0.003169,            0.003169
                  67,            0.025784,            0.010882,            0.024606,               0.744,                   1,             0.92031,             0.73268,           0.0066113,           0.0035059,           0.0071205,            0.003466,            0.003466,            0.003466
                  71,            0.029879,            0.012057,            0.034673,             0.73909,                   1,             0.93292,             0.69398,           0.0070447,           0.0034043,           0.0074935,             0.00307,             0.00307,             0.00307
                  68,            0.034647,            0.012331,            0.034027,             0.75363,                   1,             0.92031,             0.75153,           0.0063568,           0.0032888,           0.0067697,            0.003367,            0.003367,            0.003367
                  72,            0.024575,            0.011576,            0.026478,             0.73219,                   1,             0.95354,             0.71041,           0.0078541,           0.0035047,           0.0078567,            0.002971,            0.002971,            0.002971
                  69,            0.033122,            0.011709,             0.03163,             0.74423,                   1,             0.94125,             0.78485,           0.0059875,           0.0032935,            0.006598,            0.003268,            0.003268,            0.003268
                  73,            0.034217,            0.012029,            0.030843,             0.75898,              0.9986,             0.95354,             0.66637,            0.007138,           0.0038679,           0.0074957,            0.002872,            0.002872,            0.002872
                  70,            0.028132,            0.012289,            0.030753,             0.74099,                   1,              0.9825,             0.79916,           0.0061096,           0.0032745,           0.0068671,            0.003169,            0.003169,            0.003169
                  74,            0.025188,            0.011081,            0.027485,             0.76617,                   1,             0.93292,             0.65148,           0.0069688,            0.003693,           0.0070985,            0.002773,            0.002773,            0.002773
                  71,            0.029879,            0.012057,            0.034673,             0.73909,                   1,             0.93292,             0.69398,           0.0070447,           0.0034043,           0.0074935,             0.00307,             0.00307,             0.00307
                  75,             0.03076,            0.012075,            0.029576,             0.77889,                   1,             0.93292,             0.59611,           0.0093026,            0.003594,           0.0067409,            0.002674,            0.002674,            0.002674
                  72,            0.024575,            0.011576,            0.026478,             0.73219,                   1,             0.95354,             0.71041,           0.0078541,           0.0035047,           0.0078567,            0.002971,            0.002971,            0.002971
                  76,            0.026963,            0.012147,            0.029307,             0.78477,                   1,             0.97438,             0.71153,           0.0066387,           0.0034045,           0.0064302,            0.002575,            0.002575,            0.002575
                  73,            0.034217,            0.012029,            0.030843,             0.75898,              0.9986,             0.95354,             0.66637,            0.007138,           0.0038679,           0.0074957,            0.002872,            0.002872,            0.002872
                  77,            0.029635,            0.011401,            0.031471,             0.79421,                   1,             0.96188,              0.6826,           0.0071992,           0.0032374,           0.0062533,            0.002476,            0.002476,            0.002476
                  74,            0.025188,            0.011081,            0.027485,             0.76617,                   1,             0.93292,             0.65148,           0.0069688,            0.003693,           0.0070985,            0.002773,            0.002773,            0.002773
                  78,            0.027491,            0.012335,            0.031791,             0.78897,                   1,             0.96188,             0.72794,           0.0065895,           0.0031497,           0.0061717,            0.002377,            0.002377,            0.002377
                  75,             0.03076,            0.012075,            0.029576,             0.77889,                   1,             0.93292,             0.59611,           0.0093026,            0.003594,           0.0067409,            0.002674,            0.002674,            0.002674
                  79,            0.029566,            0.012563,            0.029282,             0.79549,                   1,             0.97438,              0.7551,             0.00643,            0.003234,           0.0058021,            0.002278,            0.002278,            0.002278
                  76,            0.026963,            0.012147,            0.029307,             0.78477,                   1,             0.97438,             0.71153,           0.0066387,           0.0034045,           0.0064302,            0.002575,            0.002575,            0.002575
                  80,            0.024446,            0.010691,             0.02774,              0.7847,                   1,             0.93292,              0.7276,           0.0056341,           0.0032005,           0.0057949,            0.002179,            0.002179,            0.002179
                  77,            0.029635,            0.011401,            0.031471,             0.79421,                   1,             0.96188,              0.6826,           0.0071992,           0.0032374,           0.0062533,            0.002476,            0.002476,            0.002476
                  81,            0.025068,            0.011249,            0.025479,             0.76341,                   1,             0.92031,             0.68111,           0.0055344,           0.0031733,           0.0057076,             0.00208,             0.00208,             0.00208
                  78,            0.027491,            0.012335,            0.031791,             0.78897,                   1,             0.96188,             0.72794,           0.0065895,           0.0031497,           0.0061717,            0.002377,            0.002377,            0.002377
